ID,TARGET
2,1
5,1
6,1
7,1
9,1
11,1
12,1
15,1
16,1
17,1
19,1
21,1
22,1
24,1
27,1
28,1
30,1
33,0
35,1
37,1
38,1
40,1
41,1
44,1
46,1
47,1
48,0
50,0
52,1
53,1
55,1
57,1
58,1
59,1
62,1
63,1
64,1
65,1
67,1
69,1
70,0
71,1
72,1
73,0
76,0
78,1
79,1
81,1
85,1
86,0
89,1
94,1
96,0
97,1
98,1
99,1
100,1
103,1
104,1
108,1
110,1
112,1
114,1
116,1
117,0
119,1
120,1
121,1
123,1
124,1
126,1
128,1
129,1
133,1
138,1
147,1
149,1
158,0
160,1
164,1
167,1
168,1
174,1
181,1
185,1
187,1
189,1
190,1
194,1
197,1
198,1
201,1
205,1
208,1
211,1
216,1
219,1
223,1
224,1
226,1
229,1
230,1
237,1
238,1
240,1
243,0
245,1
246,1
247,1
248,1
249,0
250,1
251,1
255,1
256,1
257,1
260,1
261,1
263,1
264,1
267,1
268,1
272,1
274,1
275,1
277,1
278,1
280,1
281,1
282,1
283,1
284,1
286,1
290,1
291,1
293,1
295,1
297,0
298,1
300,0
304,1
305,1
308,1
309,1
310,1
312,1
313,1
315,1
317,1
318,1
321,1
323,1
325,1
326,1
327,1
328,1
329,1
330,1
331,1
334,1
335,0
336,1
337,1
338,1
339,1
341,1
343,0
346,1
348,1
350,1
351,0
352,1
357,1
358,1
360,1
361,1
364,1
365,1
366,1
367,1
368,1
370,1
372,1
376,1
377,1
379,1
380,1
381,1
385,1
386,1
389,1
391,1
392,1
393,0
395,1
396,0
397,0
398,1
399,1
400,1
401,1
403,1
405,1
406,1
409,1
411,1
413,1
418,1
419,1
422,1
424,1
425,1
427,0
430,0
431,1
434,1
435,1
437,1
438,0
439,1
442,1
446,1
450,1
451,1
452,1
454,1
455,1
463,1
464,1
465,1
467,1
468,1
470,1
472,1
473,1
475,1
476,1
479,1
481,1
483,1
484,1
486,1
487,1
491,1
494,1
495,1
497,1
498,1
499,1
503,1
504,1
505,1
506,1
507,1
508,1
509,1
510,1
511,1
512,1
516,1
518,1
519,1
520,1
521,1
522,1
524,1
525,0
526,1
528,1
529,1
531,1
532,1
534,1
536,1
539,1
540,1
541,0
542,1
545,1
546,1
552,1
556,0
557,1
559,1
562,1
563,0
565,1
569,1
570,1
574,1
575,1
585,1
589,1
590,1
592,1
593,1
594,1
595,1
597,0
601,1
603,1
604,0
605,1
607,0
608,1
610,1
612,1
613,1
615,1
616,1
617,1
619,1
620,1
621,1
624,1
625,1
628,1
629,1
630,1
632,1
634,1
637,1
638,1
642,1
643,1
644,1
646,1
655,0
660,1
664,1
665,1
666,0
670,1
671,1
672,1
675,1
676,1
677,1
678,1
680,1
683,1
684,1
685,1
691,1
693,1
696,1
698,0
699,1
700,1
703,1
704,1
705,1
707,1
709,1
711,1
713,1
716,1
719,0
721,1
722,1
723,0
724,1
727,1
728,1
729,1
733,1
736,1
739,1
742,1
743,1
744,1
745,1
747,0
749,1
750,1
751,1
752,1
755,1
756,0
762,1
763,1
764,1
765,1
766,1
769,1
770,1
773,1
774,1
776,1
777,1
778,1
779,1
780,0
781,1
786,1
788,1
794,1
796,1
801,1
802,1
803,1
804,1
805,1
809,1
810,1
817,1
819,1
821,1
824,1
825,1
826,1
830,1
831,1
832,1
833,1
837,1
839,1
840,0
841,1
842,1
843,1
844,1
845,1
848,1
853,1
854,0
855,1
856,1
861,0
865,1
866,0
867,1
870,1
871,1
872,1
873,1
874,1
875,1
876,1
879,1
880,0
883,1
884,1
886,1
890,1
892,1
893,1
894,1
895,1
896,1
897,0
899,1
900,1
901,0
902,1
905,0
912,1
914,1
915,1
917,1
918,1
919,1
921,1
922,1
923,1
926,1
929,1
930,1
931,1
937,1
938,1
939,1
941,1
946,1
947,1
950,1
951,1
952,1
953,1
954,0
955,1
956,1
957,1
960,1
963,1
966,1
969,0
971,1
972,1
975,1
980,1
982,1
983,0
985,1
987,1
988,1
991,1
992,0
995,1
996,1
998,1
1001,1
1002,1
1004,1
1005,1
1010,1
1011,1
1012,0
1013,1
1014,1
1015,1
1016,1
1022,0
1023,1
1024,0
1025,1
1026,1
1028,1
1029,1
1032,1
1034,1
1036,1
1037,0
1039,1
1042,1
1045,1
1046,1
1050,1
1052,1
1055,1
1057,1
1058,0
1060,0
1062,1
1063,1
1064,1
1065,1
1066,1
1067,1
1068,1
1070,1
1072,1
1077,1
1078,1
1079,1
1081,1
1082,1
1093,1
1094,1
1102,1
1103,1
1106,1
1107,1
1112,1
1113,1
1114,1
1116,0
1118,0
1120,1
1121,1
1128,1
1130,1
1132,1
1135,1
1138,1
1139,1
1141,1
1143,1
1146,1
1148,1
1149,1
1151,1
1152,1
1153,1
1155,1
1157,0
1160,0
1161,0
1162,1
1164,1
1168,1
1169,1
1174,1
1176,1
1177,1
1178,1
1180,1
1181,1
1182,1
1185,1
1190,1
1194,1
1196,1
1199,1
1200,1
1201,1
1202,1
1206,1
1207,1
1208,1
1212,1
1216,1
1219,1
1221,1
1222,0
1225,1
1227,1
1230,1
1231,1
1232,1
1233,1
1234,1
1235,1
1236,1
1237,1
1238,1
1239,1
1240,1
1241,1
1244,1
1245,1
1247,1
1250,1
1251,1
1257,0
1259,1
1266,1
1267,1
1268,1
1270,1
1272,1
1273,1
1276,1
1278,0
1279,1
1283,1
1284,1
1286,1
1289,1
1290,0
1292,0
1293,1
1294,1
1296,1
1298,1
1299,1
1301,0
1304,1
1306,1
1308,1
1310,1
1311,1
1312,1
1315,1
1318,1
1319,1
1320,1
1323,1
1324,1
1325,1
1326,1
1329,1
1331,1
1332,1
1335,0
1336,1
1338,1
1340,1
1342,1
1345,1
1347,1
1349,1
1350,1
1351,1
1354,0
1355,1
1356,1
1359,1
1361,1
1362,1
1363,1
1365,1
1366,1
1367,1
1368,1
1369,0
1370,1
1371,1
1372,1
1374,1
1375,1
1376,1
1379,1
1380,1
1383,1
1387,1
1388,1
1389,0
1390,1
1394,1
1396,1
1397,1
1399,1
1400,1
1402,1
1403,1
1404,1
1405,1
1407,1
1409,1
1413,0
1415,1
1416,1
1418,1
1422,0
1423,1
1425,1
1428,1
1429,1
1430,1
1431,1
1432,1
1434,0
1435,1
1436,1
1438,1
1443,1
1445,1
1446,1
1453,1
1456,1
1458,1
1459,1
1460,1
1461,1
1462,1
1463,1
1466,1
1467,1
1469,1
1470,1
1471,1
1473,0
1476,1
1477,1
1481,1
1482,1
1485,1
1486,1
1490,1
1491,1
1493,1
1494,1
1500,1
1504,1
1506,1
1509,0
1512,1
1514,1
1518,1
1520,0
1522,1
1525,1
1526,1
1529,1
1530,1
1532,1
1533,1
1537,1
1542,0
1544,1
1545,1
1546,1
1549,1
1551,1
1552,0
1555,1
1556,1
1558,1
1560,1
1561,1
1562,1
1563,1
1566,1
1568,1
1570,1
1575,1
1577,1
1579,1
1581,1
1582,1
1585,1
1586,1
1587,0
1593,1
1597,1
1599,1
1608,0
1609,1
1612,1
1615,1
1616,1
1618,1
1619,0
1624,1
1625,1
1627,1
1628,1
1635,1
1636,1
1637,1
1640,1
1642,1
1645,1
1647,1
1648,1
1650,0
1651,1
1653,1
1654,1
1655,1
1656,1
1657,1
1659,1
1661,1
1662,1
1663,1
1664,1
1671,1
1673,1
1674,1
1678,1
1680,1
1682,1
1687,1
1689,1
1690,1
1691,1
1692,1
1696,1
1701,1
1702,1
1705,1
1707,1
1711,1
1714,1
1715,1
1716,1
1717,0
1719,1
1723,1
1725,1
1726,1
1728,0
1730,1
1731,1
1736,1
1742,1
1745,1
1747,1
1749,1
1750,1
1751,1
1752,1
1753,1
1754,1
1758,1
1759,1
1760,1
1761,1
1763,1
1765,1
1767,1
1768,1
1769,1
1774,1
1775,1
1776,1
1777,1
1779,1
1780,0
1783,1
1784,1
1785,0
1789,1
1790,1
1792,1
1793,1
1795,1
1796,0
1798,1
1802,1
1803,1
1805,1
1806,1
1809,1
1810,0
1812,1
1813,1
1814,1
1815,1
1817,1
1818,1
1819,1
1820,1
1821,1
1823,1
1826,1
1827,1
1829,1
1831,0
1833,1
1834,1
1837,1
1838,0
1839,1
1840,1
1841,1
1842,1
1844,1
1845,1
1846,1
1847,1
1850,1
1851,1
1852,1
1860,1
1862,1
1864,1
1865,1
1866,1
1867,1
1870,1
1871,1
1872,1
1873,0
1874,1
1876,1
1878,1
1879,1
1884,1
1885,1
1888,1
1893,1
1897,1
1901,1
1902,1
1903,1
1905,1
1907,1
1908,1
1919,1
1921,1
1926,1
1928,1
1930,1
1933,1
1934,1
1935,1
1939,1
1940,1
1942,1
1943,0
1945,1
1946,1
1948,1
1949,1
1952,1
1953,1
1955,1
1959,1
1963,1
1965,0
1967,1
1968,1
1969,0
1970,1
1973,1
1977,1
1978,0
1979,1
1988,1
1991,1
1994,0
1996,0
1997,1
1998,1
2000,1
2002,0
2004,1
2007,1
2008,1
2010,1
2011,1
2012,1
2015,1
2018,0
2019,1
2023,1
2024,1
2026,1
2028,1
2029,1
2031,1
2033,1
2034,1
2037,1
2038,1
2039,1
2040,1
2042,0
2045,1
2048,1
2049,1
2050,1
2057,1
2061,1
2063,1
2067,1
2069,1
2070,1
2072,1
2073,1
2075,1
2076,1
2081,1
2082,1
2084,1
2085,1
2086,1
2088,1
2092,1
2093,1
2094,1
2096,1
2102,1
2103,1
2104,1
2108,1
2109,1
2111,1
2113,1
2116,1
2117,1
2118,1
2119,1
2120,0
2121,1
2124,1
2125,1
2126,1
2127,1
2131,0
2133,1
2134,1
2136,1
2137,1
2139,1
2144,0
2145,1
2146,1
2149,0
2150,1
2151,1
2152,1
2153,1
2157,1
2158,1
2159,1
2161,1
2163,1
2166,1
2169,1
2171,1
2177,1
2179,1
2182,1
2184,1
2185,1
2186,1
2187,1
2188,1
2189,1
2190,1
2194,1
2195,1
2196,1
2198,1
2199,1
2200,1
2201,1
2203,1
2208,1
2209,1
2210,1
2211,1
2213,1
2214,1
2215,1
2216,0
2218,1
2222,1
2224,1
2229,1
2230,1
2234,1
2235,1
2237,1
2239,1
2241,1
2242,1
2243,1
2244,1
2245,1
2248,1
2251,1
2253,1
2254,0
2257,0
2261,1
2262,1
2266,1
2269,1
2275,1
2278,1
2279,1
2283,1
2284,1
2285,1
2286,1
2287,1
2289,1
2290,1
2291,1
2293,1
2300,1
2301,1
2302,1
2303,1
2304,1
2305,1
2306,1
2307,1
2308,1
2311,1
2313,1
2315,0
2316,1
2318,1
2322,1
2323,1
2325,1
2327,1
2328,1
2329,1
2330,1
2332,1
2333,1
2334,1
2337,1
2338,1
2341,1
2344,1
2345,1
2347,1
2348,1
2349,1
2350,1
2351,1
2358,1
2359,1
2361,1
2363,1
2364,1
2366,1
2369,1
2370,1
2373,1
2375,1
2377,1
2384,1
2385,1
2386,1
2387,1
2388,0
2392,1
2393,1
2394,1
2395,1
2396,1
2397,1
2400,1
2401,1
2403,1
2407,1
2408,1
2410,1
2414,1
2416,1
2421,1
2422,1
2423,1
2425,1
2430,0
2433,1
2434,1
2437,1
2438,1
2439,1
2440,1
2442,1
2444,1
2449,1
2456,1
2458,1
2462,0
2463,1
2464,0
2465,1
2466,0
2470,1
2476,1
2478,1
2482,1
2483,1
2484,1
2487,0
2488,1
2493,1
2494,0
2495,1
2499,1
2501,1
2503,1
2504,0
2507,1
2509,1
2511,1
2512,1
2515,1
2516,1
2517,1
2521,1
2525,1
2527,1
2528,1
2529,1
2530,1
2531,1
2533,1
2537,1
2538,1
2539,1
2541,1
2542,1
2543,1
2544,0
2545,1
2546,1
2548,1
2549,1
2555,1
2556,1
2558,1
2561,1
2563,1
2566,1
2567,1
2572,1
2573,1
2574,1
2578,1
2580,1
2581,1
2582,1
2586,1
2588,1
2589,1
2591,1
2594,1
2595,1
2596,1
2597,1
2599,1
2600,1
2601,1
2611,1
2613,1
2614,1
2615,1
2616,1
2617,1
2618,1
2619,1
2626,1
2630,1
2632,1
2636,1
2639,1
2642,0
2644,1
2647,1
2648,1
2649,1
2651,1
2652,1
2656,1
2658,1
2664,1
2667,1
2669,1
2670,0
2671,1
2672,1
2673,0
2678,1
2679,1
2682,1
2684,0
2685,1
2687,1
2689,0
2700,1
2701,1
2702,1
2704,1
2707,1
2710,1
2713,1
2715,1
2716,1
2724,1
2726,1
2727,1
2728,1
2730,1
2731,1
2733,1
2736,1
2737,1
2739,1
2740,0
2741,1
2745,1
2747,1
2749,1
2751,1
2752,1
2759,1
2760,0
2764,1
2766,1
2769,1
2772,1
2773,1
2774,1
2776,0
2779,1
2782,1
2783,1
2788,0
2789,1
2791,1
2793,1
2794,1
2796,1
2801,1
2803,1
2804,1
2805,1
2806,1
2808,1
2809,1
2812,1
2814,1
2815,1
2816,1
2817,1
2819,0
2821,1
2822,1
2825,1
2827,0
2829,1
2830,0
2831,1
2833,1
2838,1
2839,1
2843,1
2845,1
2849,1
2850,1
2852,1
2859,1
2861,1
2862,1
2863,1
2865,1
2866,1
2867,1
2869,1
2871,1
2872,1
2873,1
2874,1
2876,1
2877,0
2880,1
2881,1
2882,1
2885,1
2886,1
2888,1
2889,1
2891,1
2892,0
2893,1
2897,1
2898,1
2899,1
2901,1
2903,1
2904,1
2905,1
2906,1
2908,1
2910,1
2913,1
2914,1
2915,1
2917,1
2918,1
2919,1
2920,1
2921,1
2922,1
2925,1
2926,1
2927,1
2928,1
2929,1
2930,0
2936,0
2944,0
2949,1
2950,1
2951,1
2952,1
2955,1
2957,1
2959,0
2960,1
2961,1
2963,1
2966,1
2967,1
2968,1
2969,1
2970,1
2972,1
2973,1
2974,0
2975,1
2976,1
2980,0
2983,1
2984,1
2986,1
2988,1
2989,1
2990,1
2991,1
2994,1
2995,1
2997,1
3000,1
3001,1
3002,1
3003,1
3005,0
3007,0
3008,1
3009,1
3011,1
3012,1
3015,1
3017,0
3019,1
3022,1
3025,1
3027,1
3028,1
3030,1
3031,1
3033,1
3035,1
3036,1
3037,1
3039,1
3041,1
3046,1
3047,0
3048,1
3050,1
3051,1
3053,1
3055,1
3056,1
3058,1
3060,1
3062,1
3063,1
3064,1
3065,1
3067,1
3069,1
3070,1
3072,1
3073,1
3074,0
3079,1
3080,1
3083,1
3084,1
3089,1
3093,1
3094,1
3096,1
3098,1
3100,1
3101,1
3102,1
3104,1
3105,1
3106,1
3109,1
3110,1
3111,1
3113,1
3115,1
3116,1
3120,1
3122,1
3124,1
3128,1
3129,1
3130,1
3132,1
3133,1
3135,1
3138,1
3139,1
3140,1
3143,1
3146,1
3148,1
3149,1
3150,1
3152,1
3153,1
3154,1
3155,1
3159,1
3162,0
3163,1
3164,1
3166,1
3167,1
3168,1
3171,1
3172,1
3173,1
3177,1
3181,1
3183,1
3185,1
3186,0
3190,1
3192,1
3193,1
3194,1
3195,1
3197,1
3200,1
3201,1
3206,1
3207,1
3208,1
3210,1
3211,1
3214,1
3216,1
3217,1
3218,1
3219,1
3223,1
3224,1
3227,1
3229,1
3230,1
3231,1
3232,1
3234,1
3241,1
3242,1
3244,1
3246,1
3248,0
3249,1
3250,0
3252,1
3253,1
3254,1
3255,1
3257,1
3260,1
3264,1
3266,1
3267,1
3268,1
3270,1
3271,1
3274,1
3275,1
3276,1
3278,1
3282,1
3284,1
3287,1
3288,1
3289,1
3291,1
3292,1
3293,1
3294,1
3296,1
3298,1
3302,1
3303,1
3304,1
3306,1
3307,1
3309,1
3310,1
3311,1
3312,1
3315,0
3316,1
3320,1
3322,1
3324,1
3325,1
3326,1
3329,1
3331,1
3332,1
3334,1
3336,1
3337,1
3339,1
3340,1
3341,1
3345,1
3348,1
3350,1
3352,1
3354,1
3355,1
3356,1
3357,0
3360,1
3361,1
3362,1
3363,1
3364,1
3365,1
3366,0
3367,1
3372,1
3374,1
3375,1
3376,1
3377,1
3378,1
3380,1
3381,1
3382,1
3385,1
3386,0
3389,1
3390,0
3391,1
3393,1
3394,1
3401,1
3403,1
3404,1
3406,1
3407,1
3410,0
3411,1
3414,1
3416,1
3418,0
3419,1
3421,1
3422,1
3423,0
3424,1
3426,1
3427,1
3429,1
3431,1
3433,1
3435,0
3436,1
3437,1
3438,1
3442,1
3444,1
3447,1
3450,0
3451,1
3454,1
3455,0
3456,0
3459,1
3460,1
3461,1
3463,1
3465,1
3468,1
3469,1
3470,1
3472,1
3473,1
3475,1
3476,1
3478,1
3479,1
3481,1
3483,1
3484,1
3485,1
3488,1
3489,1
3490,0
3494,1
3498,1
3501,1
3503,1
3506,1
3507,1
3509,1
3510,1
3511,1
3512,1
3514,1
3517,1
3519,1
3521,1
3522,1
3524,1
3526,1
3527,1
3529,1
3534,1
3536,1
3539,1
3540,1
3541,1
3542,1
3543,1
3544,1
3545,1
3547,1
3548,1
3549,1
3553,1
3555,1
3556,1
3557,0
3558,1
3564,0
3565,0
3566,1
3568,1
3569,1
3571,1
3574,1
3576,0
3579,1
3582,1
3583,1
3585,1
3586,1
3588,0
3589,0
3590,1
3591,1
3593,1
3594,1
3596,1
3597,1
3598,1
3600,1
3601,1
3602,1
3603,1
3606,1
3610,1
3611,1
3612,1
3614,1
3617,0
3618,1
3619,1
3621,1
3622,1
3624,1
3627,0
3628,1
3634,1
3637,1
3638,1
3643,1
3644,1
3646,1
3648,1
3651,1
3652,1
3654,1
3656,1
3658,1
3659,1
3661,1
3663,1
3664,1
3665,1
3668,0
3669,1
3670,1
3671,1
3673,1
3674,0
3676,1
3678,1
3679,1
3683,1
3684,1
3685,1
3687,1
3693,1
3696,1
3698,1
3700,1
3702,1
3706,1
3707,1
3716,1
3720,1
3721,1
3723,1
3725,1
3726,1
3734,1
3735,1
3736,1
3737,1
3739,1
3740,1
3743,1
3746,1
3749,1
3754,1
3756,1
3757,1
3759,1
3762,1
3763,1
3766,1
3769,1
3770,1
3776,1
3777,1
3778,0
3781,1
3783,1
3787,1
3788,1
3791,1
3792,1
3793,1
3794,1
3795,1
3797,1
3800,1
3802,1
3804,1
3805,1
3807,1
3809,1
3811,1
3815,1
3816,1
3819,1
3821,1
3822,1
3823,1
3824,1
3825,1
3827,1
3829,1
3830,1
3831,1
3833,1
3838,1
3842,1
3844,1
3845,1
3848,1
3849,1
3851,1
3855,1
3856,1
3858,1
3859,1
3862,0
3865,1
3866,1
3869,1
3873,1
3876,1
3877,1
3878,1
3883,1
3886,1
3887,1
3890,1
3894,1
3898,1
3899,1
3901,1
3902,1
3903,1
3904,1
3909,0
3911,1
3914,1
3916,1
3917,0
3918,1
3919,1
3921,1
3922,1
3926,1
3928,1
3929,0
3932,1
3933,1
3936,1
3938,1
3940,1
3942,1
3944,1
3946,1
3948,1
3949,1
3951,1
3953,1
3954,1
3955,1
3959,1
3960,1
3963,1
3964,1
3965,1
3967,1
3968,1
3969,1
3974,1
3975,1
3980,1
3981,1
3984,1
3986,1
3989,1
3991,1
3992,0
3993,1
3994,1
3996,1
3997,1
4001,1
4002,1
4003,1
4005,0
4009,1
4011,1
4014,1
4016,1
4018,0
4021,1
4022,1
4024,0
4025,1
4027,1
4031,1
4032,1
4033,1
4034,1
4035,1
4036,1
4037,1
4040,1
4041,1
4042,1
4044,1
4046,1
4047,1
4048,0
4049,1
4050,1
4052,1
4055,1
4058,1
4060,0
4061,1
4063,1
4068,0
4071,1
4073,1
4075,1
4076,1
4079,1
4083,1
4086,1
4087,1
4089,1
4092,1
4093,1
4096,1
4098,1
4100,1
4102,1
4106,1
4108,1
4110,0
4111,1
4112,1
4113,1
4114,1
4116,1
4119,1
4121,1
4123,1
4124,1
4126,1
4128,1
4133,1
4135,1
4136,1
4138,1
4141,0
4144,1
4148,1
4152,1
4153,1
4154,1
4157,1
4158,1
4159,0
4161,1
4162,1
4164,1
4165,1
4166,1
4167,1
4170,1
4171,1
4172,1
4173,0
4174,1
4175,1
4176,1
4177,1
4178,1
4179,1
4181,1
4184,1
4185,1
4188,1
4189,1
4190,1
4191,1
4192,1
4193,0
4194,1
4195,1
4196,1
4199,1
4200,1
4202,1
4204,0
4206,1
4207,1
4211,1
4212,1
4213,1
4214,1
4215,1
4216,1
4217,1
4220,1
4221,1
4223,1
4228,1
4231,1
4233,1
4234,1
4235,1
4236,1
4240,0
4241,1
4247,1
4248,1
4249,1
4252,1
4255,0
4256,1
4258,1
4260,1
4261,1
4265,1
4268,1
4269,1
4270,1
4273,1
4274,1
4276,0
4277,0
4278,1
4280,1
4281,1
4286,1
4289,1
4290,1
4291,1
4293,1
4300,1
4302,1
4303,1
4304,1
4306,1
4308,1
4314,1
4316,1
4320,1
4321,1
4323,1
4324,1
4326,1
4327,1
4329,1
4330,1
4331,1
4333,0
4334,1
4335,1
4336,1
4337,1
4339,1
4340,1
